data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20210104;0.1238;3.6998;2.8611;0.4773;2.9192;2.6713;2.8098;4.5485;1.2605;4.2055;5.0589;0.1300;3.6011;0.1739;0.6115;2.9138;0.4356;0.4527;0.6020;0.9342;2.3256;0.5041;1.1535;0.5207;0.0771;0.1873;0.2550;0.7123;0.9234;0.0506;2.6627;5.0663;0.3419;0.5727;5.3847;1;001/A/NBP/2021;
20210105;0.1237;3.7031;2.8569;0.4777;2.9073;2.6710;2.8076;4.5446;1.2577;4.2078;5.0261;0.1304;3.6013;0.1735;0.6109;2.9113;0.4340;0.4510;0.6012;0.9329;2.3236;0.5010;1.1545;0.5258;0.0770;0.1857;0.2491;0.6991;0.9219;0.0495;2.6612;5.0608;0.3401;0.5731;5.3547;2;002/A/NBP/2021;
20210107;0.1222;3.6656;2.8420;0.4728;2.8849;2.6601;2.7718;4.4973;1.2605;4.1505;4.9832;0.1297;3.5392;0.1718;0.6046;2.8810;0.4344;0.4466;0.5949;0.9234;2.2994;0.5057;1.1502;0.5263;0.0761;0.1858;0.2415;0.6897;0.9078;0.0495;2.6352;4.9989;0.3352;0.5669;5.2878;3;003/A/NBP/2021;
20210108;0.1228;3.6919;2.8727;0.4763;2.9123;2.6821;2.7874;4.5189;1.2564;4.1674;5.0216;0.1306;3.5565;0.1725;0.6076;2.9098;0.4374;0.4493;0.5973;0.9277;2.3105;0.5011;1.1585;0.5181;0.0768;0.1851;0.2415;0.6825;0.9158;0.0496;2.6337;5.0420;0.3384;0.5711;5.3201;4;004/A/NBP/2021;
20210111;0.1237;3.7271;2.8741;0.4807;2.9193;2.6782;2.8025;4.5325;1.2569;4.1896;5.0288;0.1321;3.5797;0.1728;0.6094;2.8925;0.4376;0.4502;0.5985;0.9305;2.3174;0.5014;1.1678;0.5234;0.0775;0.1845;0.2409;0.6879;0.9202;0.0500;2.6379;5.0776;0.3394;0.5755;5.3471;5;005/A/NBP/2021;
20210112;0.1235;3.7188;2.8776;0.4796;2.9190;2.6736;2.8005;4.5228;1.2542;4.1787;5.0588;0.1326;3.5703;0.1725;0.6081;2.8992;0.4375;0.4490;0.5968;0.9284;2.3124;0.4987;1.1773;0.5169;0.0774;0.1863;0.2409;0.6775;0.9165;0.0502;2.6318;5.0775;0.3388;0.5757;5.3555;6;006/A/NBP/2021;
20210113;0.1236;3.7142;2.8793;0.4790;2.9174;2.6741;2.8034;4.5272;1.2597;4.1855;5.0845;0.1328;3.5766;0.1729;0.6086;2.9021;0.4394;0.4485;0.5974;0.9288;2.3147;0.5008;1.1841;0.5123;0.0773;0.1871;0.2431;0.6978;0.9185;0.0503;2.6415;5.0765;0.3387;0.5743;5.3641;7;007/A/NBP/2021;
20210114;0.1244;3.7323;2.8994;0.4814;2.9459;2.6875;2.8167;4.5407;1.2628;4.2065;5.0953;0.1330;3.5895;0.1735;0.6104;2.9033;0.4413;0.4490;0.5990;0.9317;2.3216;0.5070;1.1977;0.5059;0.0777;0.1888;0.2467;0.7043;0.9239;0.0509;2.6555;5.1091;0.3407;0.5772;5.3826;8;008/A/NBP/2021;
20210115;0.1247;3.7466;2.9013;0.4832;2.9522;2.6936;2.8219;4.5480;1.2659;4.2219;5.1104;0.1336;3.6143;0.1740;0.6114;2.9079;0.4407;0.4492;0.6021;0.9331;2.3253;0.5064;1.1564;0.5157;0.0780;0.1896;0.2473;0.7209;0.9282;0.0511;2.6723;5.1277;0.3408;0.5788;5.4082;9;009/A/NBP/2021;
